"Dist Code","Year","State Code","State Name","Dist Name","Crop Name","Area (1000 ha)"
2,1980,14,"Chhattisgarh","Bastar","Potatoes",0.08
2,1980,14,"Chhattisgarh","Bastar","Vegetables",4.21
2,1981,14,"Chhattisgarh","Bastar","Fodder",0.1
2,1981,14,"Chhattisgarh","Bastar","Fruits",2.08
2,1981,14,"Chhattisgarh","Bastar","Onions",0.15
2,1981,14,"Chhattisgarh","Bastar","Potatoes",0.08
2,1981,14,"Chhattisgarh","Bastar","Vegetables",4.77
2,1982,14,"Chhattisgarh","Bastar","Fodder",0.11
2,1982,14,"Chhattisgarh","Bastar","Fruits",2.06
2,1982,14,"Chhattisgarh","Bastar","Onions",0.18
2,1982,14,"Chhattisgarh","Bastar","Potatoes",0.08
2,1982,14,"Chhattisgarh","Bastar","Vegetables",5.07
2,1983,14,"Chhattisgarh","Bastar","Fodder",0.07
2,1983,14,"Chhattisgarh","Bastar","Fruits",2.08
2,1983,14,"Chhattisgarh","Bastar","Onions",0.14
2,1983,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1983,14,"Chhattisgarh","Bastar","Vegetables",4.92
2,1984,14,"Chhattisgarh","Bastar","Fodder",0.04
2,1984,14,"Chhattisgarh","Bastar","Fruits",2.23
2,1984,14,"Chhattisgarh","Bastar","Onions",0.12
2,1984,14,"Chhattisgarh","Bastar","Potatoes",0.06
2,1984,14,"Chhattisgarh","Bastar","Vegetables",4.86
2,1985,14,"Chhattisgarh","Bastar","Fodder",0.03
2,1985,14,"Chhattisgarh","Bastar","Fruits",2.31
2,1985,14,"Chhattisgarh","Bastar","Onions",0.14
2,1985,14,"Chhattisgarh","Bastar","Potatoes",0.08
2,1985,14,"Chhattisgarh","Bastar","Vegetables",5.06
2,1986,14,"Chhattisgarh","Bastar","Fodder",0.03
2,1986,14,"Chhattisgarh","Bastar","Fruits",2.26
2,1986,14,"Chhattisgarh","Bastar","Onions",0.11
2,1986,14,"Chhattisgarh","Bastar","Potatoes",0.07
2,1986,14,"Chhattisgarh","Bastar","Vegetables",5.21
2,1987,14,"Chhattisgarh","Bastar","Fodder",0.03
2,1987,14,"Chhattisgarh","Bastar","Fruits",2.42
2,1987,14,"Chhattisgarh","Bastar","Onions",0.12
2,1987,14,"Chhattisgarh","Bastar","Potatoes",0.09
2,1987,14,"Chhattisgarh","Bastar","Vegetables",5.76
2,1988,14,"Chhattisgarh","Bastar","Fodder",0.03
2,1988,14,"Chhattisgarh","Bastar","Fruits",2.43
2,1988,14,"Chhattisgarh","Bastar","Onions",0.2
2,1988,14,"Chhattisgarh","Bastar","Potatoes",0.1
2,1988,14,"Chhattisgarh","Bastar","Vegetables",5.76
2,1989,14,"Chhattisgarh","Bastar","Fodder",0.03
2,1989,14,"Chhattisgarh","Bastar","Fruits",2.31
2,1989,14,"Chhattisgarh","Bastar","Onions",0.21
2,1989,14,"Chhattisgarh","Bastar","Potatoes",0.12
2,1989,14,"Chhattisgarh","Bastar","Vegetables",6.01
2,1990,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1990,14,"Chhattisgarh","Bastar","Fruits",2.26
2,1990,14,"Chhattisgarh","Bastar","Onions",0.2
2,1990,14,"Chhattisgarh","Bastar","Potatoes",0.11
2,1990,14,"Chhattisgarh","Bastar","Vegetables",6.76
2,1991,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1991,14,"Chhattisgarh","Bastar","Fruits",2.24
2,1991,14,"Chhattisgarh","Bastar","Onions",0.26
2,1991,14,"Chhattisgarh","Bastar","Potatoes",0.31
2,1991,14,"Chhattisgarh","Bastar","Vegetables",7.38
2,1992,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1992,14,"Chhattisgarh","Bastar","Fruits",2.28
2,1992,14,"Chhattisgarh","Bastar","Onions",0.14
2,1992,14,"Chhattisgarh","Bastar","Potatoes",0.13
2,1992,14,"Chhattisgarh","Bastar","Vegetables",7.44
2,1993,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1993,14,"Chhattisgarh","Bastar","Fruits",2.28
2,1993,14,"Chhattisgarh","Bastar","Onions",0.26
2,1993,14,"Chhattisgarh","Bastar","Potatoes",0.15
2,1993,14,"Chhattisgarh","Bastar","Vegetables",8.03
2,1994,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1994,14,"Chhattisgarh","Bastar","Fruits",2.27
2,1994,14,"Chhattisgarh","Bastar","Onions",0.0
2,1994,14,"Chhattisgarh","Bastar","Potatoes",0.0
2,1994,14,"Chhattisgarh","Bastar","Vegetables",8.79
2,1995,14,"Chhattisgarh","Bastar","Fodder",0.01
2,1995,14,"Chhattisgarh","Bastar","Fruits",2.36
2,1995,14,"Chhattisgarh","Bastar","Onions",0.32
2,1995,14,"Chhattisgarh","Bastar","Potatoes",0.17
2,1995,14,"Chhattisgarh","Bastar","Vegetables",8.38
2,1996,14,"Chhattisgarh","Bastar","Fodder",0.01
2,1996,14,"Chhattisgarh","Bastar","Fruits",2.38
2,1996,14,"Chhattisgarh","Bastar","Onions",0.29
2,1996,14,"Chhattisgarh","Bastar","Potatoes",0.18
2,1996,14,"Chhattisgarh","Bastar","Vegetables",8.44
2,1997,14,"Chhattisgarh","Bastar","Fodder",0.01
2,1997,14,"Chhattisgarh","Bastar","Fruits",2.32
2,1997,14,"Chhattisgarh","Bastar","Onions",0.28
2,1997,14,"Chhattisgarh","Bastar","Potatoes",0.18
2,1997,14,"Chhattisgarh","Bastar","Vegetables",8.76
2,1998,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1998,14,"Chhattisgarh","Bastar","Fruits",2.35
2,1998,14,"Chhattisgarh","Bastar","Onions",0.22
2,1998,14,"Chhattisgarh","Bastar","Potatoes",0.2
2,1998,14,"Chhattisgarh","Bastar","Vegetables",9.75
2,1999,14,"Chhattisgarh","Bastar","Fodder",0.0
2,1999,14,"Chhattisgarh","Bastar","Fruits",2.6
2,1999,14,"Chhattisgarh","Bastar","Onions",0.3
2,1999,14,"Chhattisgarh","Bastar","Potatoes",0.2
2,1999,14,"Chhattisgarh","Bastar","Vegetables",9.94
2,2000,14,"Chhattisgarh","Bastar","Fodder",0.0
2,2000,14,"Chhattisgarh","Bastar","Fruits",2.54
2,2000,14,"Chhattisgarh","Bastar","Onions",0.31
2,2000,14,"Chhattisgarh","Bastar","Potatoes",0.23
2,2000,14,"Chhattisgarh","Bastar","Vegetables",10.4
2,2001,14,"Chhattisgarh","Bastar","Fodder",0.0
2,2001,14,"Chhattisgarh","Bastar","Fruits",2.86
2,2001,14,"Chhattisgarh","Bastar","Onions",0.29
2,2001,14,"Chhattisgarh","Bastar","Potatoes",0.19
2,2001,14,"Chhattisgarh","Bastar","Vegetables",10.93
2,2002,14,"Chhattisgarh","Bastar","Fodder",0.01
2,2002,14,"Chhattisgarh","Bastar","Fruits",2.64
2,2002,14,"Chhattisgarh","Bastar","Onions",0.32
2,2002,14,"Chhattisgarh","Bastar","Potatoes",0.17
2,2002,14,"Chhattisgarh","Bastar","Vegetables",11.11
2,2003,14,"Chhattisgarh","Bastar","Fodder",0.0
2,2003,14,"Chhattisgarh","Bastar","Fruits",2.55
2,2003,14,"Chhattisgarh","Bastar","Onions",0.3
2,2003,14,"Chhattisgarh","Bastar","Potatoes",0.16
2,2003,14,"Chhattisgarh","Bastar","Vegetables",11.76
